KPI_Name;Value;Unit;Formula;Category;Confidence;Source_KPIs;Interpretation
resultat_operationnel;7130000.0;TND;chiffre_affaires_t1_2024 - charges_exploitation_t1_2024;rentabilité;high;"chiffre_affaires_t1_2024; charges_exploitation_t1_2024";Indique la rentabilité opérationnelle de l'entreprise
resultat_net_estime;5347500.000000001;TND;chiffre_affaires_t1_2024 * marge_nette / 100;rentabilité;high;"chiffre_affaires_t1_2024; marge_nette";Le résultat net estimé représente la marge bénéficiaire de l'entreprise sur son chiffre d'affaires.
croissance_absolue_ca;4750000.0;TND;chiffre_affaires_t1_2024 - chiffre_affaires_t1_2023;croissance;high;"chiffre_affaires_t1_2024; chiffre_affaires_t1_2023";Indique la variation absolue du chiffre d'affaires entre 2023 et 2024
ca_annualise_2024;115000000.0;TND;chiffre_affaires_t1_2024 * 4;projection;high;chiffre_affaires_t1_2024;Le CA annualisé 2024 représente le chiffre d'affaires du premier trimestre 2024 multiplié par 4.
charges_annualisees_2024;86480000.0;TND;charges_exploitation_t1_2024 * 4;projection;high;charges_exploitation_t1_2024;Indique les charges annuelles 2024 de l'entreprise
charges_par_collaborateur;14910.344827586207;TND/collaborateur;charges_exploitation_t1_2024 / effectif_total;productivité;high;"charges_exploitation_t1_2024; effectif_total";Indique le coût moyen par collaborateur pour l'entreprise
ca_par_effectif;19827.58620689655;TND/collaborateur;chiffre_affaires_t1_2024 / effectif_total;productivité;high;"chiffre_affaires_t1_2024; effectif_total";Indique le chiffre d'affaires moyen par collaborateur de l'entreprise
intensite_capital_humain;58.608695652173914;%;(charges_personnel_t1_2024 / chiffre_affaires_t1_2024) * 100;productivité;high;"charges_personnel_t1_2024; chiffre_affaires_t1_2024";Indique le pourcentage de charges personnel par rapport au chiffre d'affaires
ratio_liquidite;32.69957983193277;%;(tresorerie / total_bilan) * 100;structure;high;"tresorerie; total_bilan";Ce ratio indique le pourcentage de liquidité de l'entreprise par rapport à son total bilan.
poids_creances;47.92016806722689;%;(creances_clients / total_bilan) * 100;structure;high;"creances_clients; total_bilan";Indique le poids des créances clients dans le total du bilan de l'entreprise
ratio_immobilisations;19.380252100840337;%;(actifs_immobilises / total_bilan) * 100;structure;high;"actifs_immobilises; total_bilan";Ce ratio indique le pourcentage d'actifs immobilisés par rapport au total bilan de l'entreprise.
part_developpement_ca;44.0;%;(ca_developpement_applications / chiffre_affaires_t1_2024) * 100;répartition;high;"ca_developpement_applications; chiffre_affaires_t1_2024";Indique le pourcentage du chiffre d'affaires total généré par le développement d'applications
part_cloud_ca;30.0;%;(ca_infrastructure_cloud / chiffre_affaires_t1_2024) * 100;répartition;high;"ca_infrastructure_cloud; chiffre_affaires_t1_2024";Indique la part du chiffre d'affaires généré par les infrastructures cloud
part_conseil_ca;12.0;%;(ca_conseil_transformation / chiffre_affaires_t1_2024) * 100;répartition;high;"ca_conseil_transformation; chiffre_affaires_t1_2024";Indique la part du conseil dans le chiffre d'affaires total de l'entreprise
part_services_financiers;35.001739130434785;%;(ca_services_financiers / chiffre_affaires_t1_2024) * 100;clients;high;"ca_services_financiers; chiffre_affaires_t1_2024";Indique la part des services financiers dans le chiffre d'affaires total de l'entreprise
part_telecom;25.001739130434782;%;(ca_telecommunications / chiffre_affaires_t1_2024) * 100;clients;high;"ca_telecommunications; chiffre_affaires_t1_2024";Indique la part du chiffre d'affaires généré par les télécommunications dans l'ensemble du chiffre d'affaires de l'entreprise
part_secteur_public;20.0;%;(ca_secteur_public / chiffre_affaires_t1_2024) * 100;clients;high;"ca_secteur_public; chiffre_affaires_t1_2024";Indique la part du chiffre d'affaires généré par le secteur public dans le chiffre d'affaires total de l'entreprise
ratio_rd_ca;6.434782608695652;%;(budget_rd / chiffre_affaires_t1_2024) * 100;innovation;high;"budget_rd; chiffre_affaires_t1_2024";Ce ratio indique le pourcentage du chiffre d'affaires alloué au budget R&D.
certifications_par_collaborateur;0.19655172413793104;certifications/collaborateurs;certifications_obtenues / effectif_total;formation;high;"certifications_obtenues; effectif_total";Indique le nombre moyen de certifications obtenues par collaborateur
